Tweet ID,Tweet,Class,Stance,Class,Stance,Class,Stance
163431,⚠️ About 265 million people around the world are expected to face acute food insecurity this year because of the #Coronavirus pandemic. This figure is more than x2 compare to last year! https://t.co/DGsKKiPZlb,Concern - society,Favor,,,,
356751,"Business owners across Essex, Kent and East Sussex are asked to help @southeastlep with their Coronavirus business recovery survey: https://t.co/sy6uT9eN4H",Concern - the economy,None,,,,
490416,"@nytimesworld Unfortunately, we cannot trust WHO in anything related to China's involvement (voluntary or involuntary) on the Covid-19. Dr. Tedros has many favors to return to China for his nomination.",Trust in the national health authorities,Against,Trust in scientists,Against,Conspiracy beliefs,Favor
505799,@mikepanayi Also a lot have Fatigue in different ways. They can have PENE instead of PEM with much more neurological symptoms and exhaustion. The symptoms vary in many different ways and can change over time #MECFS #LongCovid,NONE,None,,,,
298367,This is a must watch whatever your political persuasion https://t.co/YL8ruOUZI7,Vote choice (government),None,,,,
166421,@DanMunro And liw paid essential workers can’t afford #healthcare nor #COVID19 #BurnBabyBurn,NONE,None,,,,
8192,@Beds72 They say it is the move to stuff on line and the fact that fewer people since COVID started are actually going to a newsagent and picking up a copy.,Misinformation,Favor,,,,
369772,"@JensBoman Not hospitalised (so not know), but about 15-20 (I am sure) have been admitted to intensive care units (some of them due to COVID-19), others were found to have COVID-19 but were admitted for other reasons.",NONE,None,,,,
364450,"Freaking @geoffjohns types aka Disney / Marvel Feige says zombies 🤢🤮😷

https://t.co/HPJo63ghlE ( e.g. )

https://t.co/3zBMzZcJPd

#HBOMAX4ZACK @hbomax #ZackSnydersJL #ZackSnydersJusticeLeague #ReleaseTheSnyderCut #ReleaseTheAyerCut and the rest will follow 🇸🇪🖖 https://t.co/tiKrBV7JAE",NONE,None,,,,
179559,Dr Hillary Jones warns UK could suffer second wave of coronavirus in next two weeks https://t.co/gzau5DVDB3,Trust in scientists,None,,,,
65518,"Media’s a major player in this US-Corp coup &amp;, it could never happen, of course, without an army of corrupt politicians. 
Think Johnson was chosen because they knew he’d fu*k-up; ‘from chaos huge profits accrue’ —US Corp Mantra. https://t.co/aYzDWCByvb",Trust in government,Against,,,,
313256,@tancredipalmeri It should only be for fans who had a vaccine or just uk fans . Or we just end up in another lockdown with another new variant of covid,Vaccine,Favor,Support for restrictions,Favor,,
182830,There were crimes committed the spraying of covid19 by means of chemtrails was an Israeli terrorist act of war that constitutes as a major crime against humanity the Jew organizations financiers behind this false flag should all be prosecuted it was a premeditated attack on the g https://t.co/xibWIwrBhu,Conspiracy beliefs,Favor,,,,
513654,".@EUCOPresident Michel says ""we must clearly communicate the value of vaccines"" due to the growing number of anti-vaxxers. #COVID #Coronavirus #SARSCoV2  #Pandemic @pfizer @BioNTech_Group @moderna_tx",Vaccine,None,Trust in government,None,,
331491,"In our 'republic', they will give you 'free' kofia, shukas and t-shirts during the campaign seasons for you to vote for them but not free masks to keep you alive today!

Know when you count. Make it count next time.
#covid_19Ke 
@RobertAlai",Trust in government,Against,Support for restrictions,Favor,Vote choice (government),None
439384,Trump says his COVID lies are just like Churchill's actions during the London bombings https://t.co/8DscLb7saQ,Trust in government,None,Conspiracy beliefs,None,,
471042,"Slipped....Job floor was wet or something? RT @NBCNews: 8,000,000 Americans slipped into poverty amid coronavirus pandemic, study finds. https://t.co/OjqnVkRssP",Concern - the economy,Favor,,,,
123331,"@PostOpinions @paulwaldman1 A textbook demagogue, even in the midst of a once-in-a-century pandemic. No normal, mentally stable U.S. president would seek to divide our country at a time like this.",Trust in government,Against,Vote choice (government),None,,
178052,Taxation without representation has been known to cause problems in the past! https://t.co/GqdV2IfP8R,Concern - the economy,Favor,,,,
228183,"According to Atlanta’s @CDCgov between 160 million &amp; 214 million people in the US could be infected by the #COVID19, 200,000 to 1.7 million could die. Between 2.4 million to 21 million could need hospitalization, while there are only about 925,000 staffed hospital beds available",Concern- hospitals,Favor,Trust in scientists,None,,
59215,"@Bluewurst1875 @the_cynical1 @PrimalPolitical I think its a lot more. 

We need that NHS back up and running asap and get all covid into nightingales....

https://t.co/kZ79hUn2as",Concern- hospitals,Favor,,,,
435542,#AmericanHistorySongsAndMovies Party like Covid 19_99,NONE,None,,,,
290167,"Of the 🇮🇹 104,657 positive cases (Apr. 29), the breakdown is:

Recovered still w/some symptoms = 19,210
ICU = 1,795
Home Isolation = 83,652

Lockdown works, painful, but works.

R0 holding at 0.5-0.7 after the Apr. 14 Phase I opening of the economy.",Support for restrictions,Favor,,,,
404931,Bc Americans are fucking insane only 50% plan to get vaccinated WTFFFFFF. https://t.co/rJMTFV9J5m,Vaccine,Favor,,,,
22093,The govt narrative (aka propaganda) has to be challenged. Please keep doing so ! https://t.co/uOIZxzCoRF,Trust in government,Against,Conspiracy beliefs,Favor,,
455836,"@realDonaldTrump Deadliest events in US history:
1. 675,000 1918 Flu Pandemic
2. 620,000  Civil War
3. 405,399  WWII
4. 211,000  COVID-19 (as of 10/07)
5. 162,950  WWI
#Trump still downplaying COVID-19 and working hard on his History book entry.
And Donald #Trump is one of the biggest tax cheats. https://t.co/XC9qxTFWsy",Trust in government,Against,Vote choice (government),None,,
387595,@AgentsOfChilled @kirstiealley He has made sure jobs stayed IN USA instead of China. The industry and economy was booming up until covid.,Concern - the economy,Favor,,,,
412095,🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾COVID-19 🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾,NONE,None,,,,
384263,"Do you suppose they actually brief @realDonaldTrump on these facts, and he STILL insists on going and putting lives of those who are responsible for keeping HIM safe in danger? What a stupid question. Of course they do—and he doesn’t freakin’ care. #TrumpCovid19 please #Vote https://t.co/W5UXDd3JqG",Trust in government,Against,Vote choice (government),None,,
202047,@BBCMOTD @BBCSport The irony of @LFC  praising the @NHSuk while at the same time wrecking their city and ignoring all social distancing rules! Probably not their fault though!,Support for restrictions,Favor,,,,
143578,"Social good creates economic boost As unemployment rates skyrocket around the world due to the COVID-19 pandemic, a new study out of Australia and Sweden has found social venture start-ups not only alleviate social problems but are also much more important for job creation than p",Concern - society,Against,Concern - the economy,Against,Trust in scientists,Favor
168081,@TomCottonAR If you got just as angry about racism as you do looting we wouldnt be in this mess.  Your and the president’s resort to bullying is reprehensible.,Trust in government,Against,Vote choice (government),None,,
429342,"@Jordan_Sather_ Coronavirus has been around for 55 yrs., but the left took advantage of this situation &amp; used it to further their wicked deeds/controls because of the election.",Political ideology,None,Conspiracy beliefs,Favor,Vote choice (government),None
180812,For everyone who thought their vote won’t make a difference... please reconsider https://t.co/d0FiXUzsca,Vote choice (government),None,,,,
346729,"“My fear is that in our vehement defence of the Swedish approach, we have released forces we cannot control. As is clear for anyone who has followed Brexit, a nationalism unable to handle criticism can easily tear a society apart.” https://t.co/JNw8sVRsP7",Democratic rights,Favor,,,,
96238,"@MattHancock You will not eradicate the virus.
Heard immunity always works.
Stop with you R rate  and % are a smoke screen. Test and trace is crap. Numbers of covid deaths are questionable. You do not have a cure so let people live normally.",Trust in scientists,Against,Vaccine,Against,Support for restrictions,Against
63736,Winter flu jab could protect against coronavirus as experts hail 'new weapon' https://t.co/4BkxWbVmgD,Vaccine,Favor,Trust in scientists,Favor,,
335334,"The science is saying 
it’s highly contagious
You might not have symptoms
You might be a patient
in a hospital
If there’s any room left
‘cause the truth is 
— too many humans
too few beds",Concern- hospitals,Favor,Trust in scientists,Favor,,
317118,"@inquestioner I’m very confident that if these MLAs espousing the benefits of cow dung and urine, noticed any symptoms of the coronavirus themselves, they would rush to the nearest hospital and demand VIP treatment for the next fortnight including the best available treatments.",Trust in scientists,Favor,Misinformation,Favor,,
340161,"Many of the world's airlines could be bankrupt by May because of the COVID-19 crisis, according to an aviation consultancy. These airlines have already collapsed because of the pandemic. https://t.co/S5ID9ssaeI #AirTravel https://t.co/rlD1FfN4fx",Concern - the economy,Favor,,,,
380356,"Update: been unwell (ish) all day, woke with a headache but painkillers helped. Fatigue coming and going all day, but never fully going. Now sore throat beginning. Highly unlikely it's the Tory plague but not ruling anything out. Could be the menopause 🤷‍♂️",Trust in government,Against,,,,
347233,@Maryam_Rajavi Ali Khamenei and Hassan Rouhani have abandoned the people of #Iran amidst the #Coronavirus crisis without any support. #COVIDー19 https://t.co/TxhgxCXXX0,Trust in government,Against,,,,
